Temperature,Salinity,pH,Oxygen,Depth,Turbidity,Nutrient_Level,Fish_Count,Species_Diversity,Biomass
24.5,34.2,8.2,6.8,15,2.1,45,1580,12,18500
25.1,34.5,8.1,6.5,20,2.5,42,1420,11,16800
26.3,34.8,8.0,6.2,25,3.2,38,1350,10,15200
27.2,35.1,7.9,5.8,30,3.8,35,1180,9,13600
28.1,35.4,7.8,5.5,35,4.2,32,980,8,11200
29.2,35.7,7.7,5.1,40,4.8,28,750,7,8900
30.1,36.0,7.6,4.8,45,5.5,25,520,6,6200
31.0,36.3,7.5,4.4,50,6.2,22,320,5,3800
24.8,33.9,8.3,7.2,12,1.8,48,1680,13,19800
25.4,34.1,8.2,6.9,18,2.2,45,1520,12,17900
26.1,34.4,8.1,6.6,22,2.9,41,1380,11,16200
27.0,34.7,8.0,6.3,28,3.5,37,1220,10,14500
28.3,35.0,7.9,5.9,32,4.1,34,1050,9,12800
29.1,35.3,7.8,5.6,38,4.7,30,850,8,10100
30.2,35.6,7.7,5.2,42,5.3,27,650,7,7800
31.1,35.9,7.6,4.9,48,5.9,24,450,6,5400
25.2,34.0,8.2,7.0,16,2.0,46,1600,12,18800
25.8,34.3,8.1,6.7,21,2.6,43,1450,11,17200
26.5,34.6,8.0,6.4,26,3.3,39,1300,10,15600
27.4,34.9,7.9,6.0,31,3.9,36,1150,9,13800
28.5,35.2,7.8,5.7,36,4.5,33,920,8,11000
29.4,35.5,7.7,5.3,41,5.1,29,720,7,8600
30.3,35.8,7.6,5.0,46,5.7,26,540,6,6500
31.2,36.1,7.5,4.6,51,6.4,23,380,5,4200
24.2,33.8,8.3,7.1,14,1.9,47,1650,13,19400
25.0,34.0,8.2,6.8,19,2.3,44,1480,12,17500
26.2,34.3,8.1,6.5,24,3.0,40,1320,11,15800
27.1,34.6,8.0,6.1,29,3.6,37,1180,10,14100
28.2,34.9,7.9,5.8,34,4.3,34,1020,9,12200
29.0,35.2,7.8,5.4,39,4.9,31,820,8,9800
30.0,35.5,7.7,5.1,44,5.5,28,620,7,7400
31.0,35.8,7.6,4.7,49,6.1,25,420,6,5000
24.7,33.7,8.4,7.3,11,1.7,49,1720,14,20200
25.3,33.9,8.3,7.0,17,2.1,46,1550,13,18300
26.0,34.2,8.2,6.7,23,2.8,42,1400,12,16600
26.9,34.5,8.1,6.3,27,3.4,38,1250,11,14900
28.0,34.8,8.0,6.0,33,4.0,35,1080,10,12900
28.8,35.1,7.9,5.6,37,4.6,32,880,9,10500
29.8,35.4,7.8,5.3,43,5.2,29,680,8,8100
30.8,35.7,7.7,4.9,47,5.8,26,480,7,5700
24.0,33.6,8.4,7.4,10,1.6,50,1750,14,20600
24.9,33.8,8.3,7.1,16,2.0,47,1580,13,18600
25.7,34.1,8.2,6.8,22,2.7,43,1420,12,16800
26.7,34.4,8.1,6.4,28,3.3,39,1280,11,15300
27.8,34.7,8.0,6.1,34,3.9,36,1120,10,13400
28.7,35.0,7.9,5.7,40,4.5,33,920,9,11000
29.6,35.3,7.8,5.4,46,5.1,30,720,8,8600
30.6,35.6,7.7,5.0,52,5.7,27,520,7,6200
23.8,33.5,8.5,7.5,9,1.5,51,1800,15,21200
24.6,33.7,8.4,7.2,15,1.9,48,1620,14,19100
25.5,34.0,8.3,6.9,21,2.6,44,1460,13,17200
26.4,34.3,8.2,6.5,27,3.2,40,1320,12,15600
27.6,34.6,8.1,6.2,35,3.8,37,1160,11,13900
28.6,34.9,8.0,5.8,41,4.4,34,960,10,11500
29.5,35.2,7.9,5.5,47,5.0,31,760,9,9100
30.4,35.5,7.8,5.1,53,5.6,28,560,8,6700
25.6,34.2,8.1,6.6,26,2.8,41,1380,11,16300
26.8,34.5,8.0,6.3,32,3.4,38,1200,10,14400
27.9,34.8,7.9,5.9,38,4.0,35,1040,9,12500
29.3,35.1,7.8,5.6,44,4.6,32,840,8,10000
30.5,35.4,7.7,5.2,50,5.2,29,640,7,7600
26.6,34.1,8.2,6.4,24,3.1,40,1340,11,15900
27.5,34.4,8.1,6.1,30,3.7,37,1180,10,14100
28.4,34.7,8.0,5.8,36,4.3,34,1000,9,12000
29.7,35.0,7.9,5.4,42,4.9,31,800,8,9600
30.7,35.3,7.8,5.1,48,5.5,28,600,7,7200
